Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,8963,8805,6800.0,22112.15754923417,1.0904590017162263,148329.61176603567,37.83052549369631,3.1852350789097397,3.129085671069983,6800,14000,19000,24000,81000,134000,136000,136000,137000,148000,148000
GET,/api/auth/me,1867,735,200.0,12839.964712960425,1.3931739958934486,150729.4198120362,58.44134975897161,0.6634869901064916,0.26120135925456417,200,1000,3900,7200,37000,133000,135000,136000,149000,151000,151000
GET,/api/products (GET),9438,3796,330.0,11522.586441954636,1.1863579857163131,144612.42229497293,73748.66115702479,3.3540386784279956,1.3490072921501028,330,1100,3800,7200,36000,83000,135000,136000,136000,145000,145000
POST,/api/products (POST),2351,870,520.0,10767.84143296495,1.1256500147283077,150230.7308529853,107.8290089323692,0.8354889736156196,0.3091771191176474,520,1100,2100,4100,33000,84000,134000,136000,147000,150000,150000
DELETE,/api/products/[id] (DELETE),89,26,370.0,3397.819974708235,1.9633839838206768,57067.01338797575,0.0,0.031628463909736344,0.009239775973630841,370,630,1600,2000,7200,20000,53000,57000,57000,57000,57000
PUT,/api/products/[id] (PUT),182,61,610.0,7765.780373339881,3.20293300319463,136062.26801802404,115.41208791208791,0.0646784318154159,0.0216779359381339,620,1000,1300,2200,7200,57000,133000,135000,136000,136000,136000
GET,/api/products?category (GET),3721,1511,230.0,11616.307368316526,1.2814129586331546,144442.9547409527,14293.69282450954,1.3223540922261678,0.5369731344675462,230,1000,3100,7200,36000,82000,135000,136000,143000,144000,144000
,Aggregated,26611,15804,1000.0,15075.303671570198,1.0904590017162263,150729.4198120362,28181.9319454361,9.456910709011167,5.616362287971609,1000,4500,11000,17000,41000,133000,135000,136000,137000,149000,151000
