Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,1453,1256,7200.0,23290.14010911044,1.2866429751738906,138010.66714699846,74.96008258774948,0.707960526846559,0.6119741374530475,7200,19000,31000,36000,73000,133000,135000,136000,136000,138000,138000
GET,/api/auth/me,2150,335,480.0,7412.976641124525,1.2653410085476935,142878.03514202824,81.01162790697674,1.0475671938885764,0.16322558602449913,480,3100,5300,7000,16000,40000,83000,134000,136000,143000,143000
GET,/api/products (GET),10413,1679,830.0,6723.975933731103,1.2637450126931071,136472.99356100848,165351.8695860943,5.07363590230779,0.8180768923436837,830,3100,4800,5900,12000,33000,69000,134000,136000,136000,136000
POST,/api/products (POST),2906,486,1100.0,7158.612110085033,1.2353460188023746,144933.83530300343,141.93186510667584,1.415921053693118,0.236798909874348,1100,3300,5100,6500,12000,33000,88000,134000,137000,145000,145000
DELETE,/api/products/[id] (DELETE),113,19,990.0,5641.919595284173,1.6286959871649742,134427.6146129705,1.168141592920354,0.0550581827485624,0.009257570550643234,990,3700,5700,7200,11000,24000,36000,60000,134000,134000,134000
PUT,/api/products/[id] (PUT),256,47,980.0,6515.9265645381765,1.6366970376111567,134831.2832810334,141.83203125,0.12473358215603517,0.02290030609895958,990,3100,5300,7100,15000,35000,68000,85000,135000,135000,135000
DELETE,/api/products/[id] (cleanup),25,25,2000.0,3983.316921952646,9.405565040651709,11245.111297990661,0.0,0.012181013882425309,0.012181013882425309,2000,5200,7200,7200,11000,11000,11000,11000,11000,11000,11000
GET,/api/products?category (GET),4172,666,600.0,7006.736562767723,1.4829550054855645,136415.3246859787,32301.63087248322,2.0327675966991356,0.32450220982781025,600,2800,4600,5900,13000,34000,84000,134000,136000,136000,136000
,Aggregated,21488,4513,980.0,8015.425517707971,1.2353460188023746,144933.83530300343,86434.44755212212,10.469825052222202,2.198916626055417,980,3400,5300,7000,19000,37000,120000,134000,136000,141000,145000
